sno,name,handedness,height,weight,average,HR,ratio,bodyindex,bodytype
357,Al Cowens,RIGHT,73,197,0.27,108,0.370558376,0,HEAVY
358,Al Oliver,LEFT,72,195,0.303,219,0.369230769,0,HEAVY
359,Dave Hilton,RIGHT,71,191,0.213,6,0.371727749,0,HEAVY
360,Luis Alvarado,RIGHT,69,162,0.214,5,0.425925926,1,MODERATE
361,Larry Parrish,RIGHT,75,190,0.263,256,0.394736842,1,MODERATE
362,Woodie Fryman,RIGHT,75,197,0.138,2,0.38071066,1,MODERATE
363,Bob Randall,RIGHT,74,175,0.257,1,0.422857143,1,MODERATE
364,Jim Pankovits,RIGHT,70,170,0.25,9,0.411764706,1,MODERATE
365,Sherman Corbett,LEFT,76,205,0,0,0.370731707,0,HEAVY
366,Carmen Fanzone,RIGHT,72,200,0.224,20,0.36,0,HEAVY
367,Gary Allenson,RIGHT,71,185,0.221,19,0.383783784,1,MODERATE
368,Milt May,LEFT,72,190,0.263,77,0.378947368,0,HEAVY
369,Mike Vail,RIGHT,73,180,0.279,34,0.405555556,1,MODERATE
370,Nick Esasky,RIGHT,75,200,0.25,122,0.375,0,HEAVY
371,Jim Nettles,LEFT,72,186,0.22,16,0.387096774,1,MODERATE
372,Lafayette Currence,BOTH,71,175,0,0,0.405714286,1,MODERATE
373,Chris Cannizzaro,RIGHT,72,190,0.235,18,0.378947368,0,HEAVY
374,Larry Biittner,LEFT,74,205,0.273,29,0.36097561,0,HEAVY
375,John Pawlowski,RIGHT,74,175,0,0,0.422857143,1,MODERATE
376,Mel Stottlemyre,RIGHT,73,178,0.16,7,0.41011236,1,MODERATE
377,Jack Hardy,RIGHT,74,175,0,0,0.422857143,1,MODERATE
378,Ron Musselman,RIGHT,74,185,0,0,0.4,1,MODERATE
379,Roy Smalley,BOTH,73,185,0.257,163,0.394594595,1,MODERATE
380,Tony Chevez,RIGHT,71,177,0,0,0.401129944,1,MODERATE
381,Andy Messersmith,RIGHT,73,200,0.17,5,0.365,0,HEAVY
382,Richie Zisk,RIGHT,73,200,0.287,207,0.365,0,HEAVY
383,Dave Chalk,RIGHT,70,175,0.252,15,0.4,1,MODERATE
384,Don Baylor,RIGHT,73,190,0.26,338,0.384210526,1,MODERATE
385,John Vukovich,RIGHT,73,187,0.161,6,0.390374332,1,MODERATE
386,Danny Thompson,RIGHT,72,183,0.248,15,0.393442623,1,MODERATE
387,Joe Simpson,LEFT,75,175,0.242,9,0.428571429,1,MODERATE
388,Bill Fahey,LEFT,72,200,0.241,7,0.36,0,HEAVY
389,Doug Camilli,RIGHT,71,195,0.199,18,0.364102564,0,HEAVY
390,Bernie Allen,LEFT,72,175,0.239,73,0.411428571,1,MODERATE
391,Bruce Bochy,RIGHT,75,205,0.239,26,0.365853659,0,HEAVY
392,Gary Ignasiak,RIGHT,71,185,0,0,0.383783784,1,MODERATE
393,Claudell Washington,LEFT,72,190,0.278,164,0.378947368,0,HEAVY
394,John Donaldson,LEFT,71,160,0.238,4,0.44375,2,LEAN
395,Mike Smithson,LEFT,80,215,0,0,0.372093023,0,HEAVY
396,John Mayberry,LEFT,75,215,0.253,255,0.348837209,0,HEAVY
397,Ken Reitz,RIGHT,72,180,0.26,68,0.4,1,MODERATE
398,Amos Otis,RIGHT,71,165,0.277,193,0.43030303,1,MODERATE
399,Gene Alley,RIGHT,70,160,0.254,55,0.4375,2,LEAN
400,Ted Sizemore,RIGHT,70,165,0.262,23,0.424242424,1,MODERATE
401,Dan Briggs,LEFT,72,180,0.195,12,0.4,1,MODERATE
402,Joe Skalski,RIGHT,75,190,0,0,0.394736842,1,MODERATE
403,Doug Flynn,RIGHT,71,165,0.238,7,0.43030303,1,MODERATE
404,Bert Bradley,BOTH,73,190,0,0,0.384210526,1,MODERATE
405,Ken Holtzman,RIGHT,74,175,0.163,2,0.422857143,1,MODERATE
406,Pete Ward,LEFT,73,185,0.254,98,0.394594595,1,MODERATE
407,Kevin Bell,RIGHT,72,195,0.222,13,0.369230769,0,HEAVY
408,Tom Nieto,RIGHT,73,193,0.205,5,0.378238342,0,HEAVY
409,Duke Sims,LEFT,74,197,0.239,100,0.375634518,0,HEAVY
410,Larvell Blanks,RIGHT,68,167,0.253,20,0.407185629,1,MODERATE
411,Francisco Barrios,RIGHT,71,155,0,0,0.458064516,2,LEAN
412,Mike Davis,LEFT,74,175,0.259,91,0.422857143,1,MODERATE
413,Jerry Reuss,LEFT,77,200,0.167,1,0.385,1,MODERATE
414,Steve Yeager,RIGHT,72,190,0.228,102,0.378947368,0,HEAVY
415,Danny Goodwin,LEFT,73,195,0.236,13,0.374358974,0,HEAVY
416,Bud Harrelson,BOTH,71,160,0.236,7,0.44375,2,LEAN
417,Bob Knepper,LEFT,75,195,0.137,6,0.384615385,1,MODERATE
418,Mickey Rivers,LEFT,70,165,0.295,61,0.424242424,1,MODERATE
419,Jim Northrup,LEFT,75,190,0.267,153,0.394736842,1,MODERATE
420,John Hale,LEFT,74,195,0.201,14,0.379487179,1,MODERATE
421,Reggie Ritter,LEFT,74,195,0,0,0.379487179,1,MODERATE
422,Pedro Garcia,RIGHT,70,175,0.22,37,0.4,1,MODERATE
423,Carl Yastrzemski,LEFT,71,175,0.285,452,0.405714286,1,MODERATE
424,Bob Babcock,RIGHT,77,210,0,0,0.366666667,0,HEAVY
425,Craig Eaton,RIGHT,71,175,0,0,0.405714286,1,MODERATE
426,Derrel Thomas,BOTH,72,160,0.249,43,0.45,2,LEAN
427,Art Howe,RIGHT,74,190,0.26,43,0.389473684,1,MODERATE
428,Ike Brown,RIGHT,72,190,0.256,20,0.378947368,0,HEAVY
429,Howie Goss,RIGHT,76,204,0.216,11,0.37254902,0,HEAVY
430,Glenn Borgmann,RIGHT,76,210,0.229,16,0.361904762,0,HEAVY
431,Lamar Johnson,RIGHT,74,215,0.287,64,0.344186047,0,HEAVY
432,Julio Gonzalez,RIGHT,71,162,0.235,4,0.438271605,2,LEAN
433,Bobby Klaus,RIGHT,70,170,0.208,6,0.411764706,1,MODERATE
434,Manny Sanguillen,RIGHT,72,193,0.296,65,0.373056995,0,HEAVY
435,Gates Brown,LEFT,71,220,0.257,84,0.322727273,0,HEAVY
436,Johnny Ray,BOTH,71,170,0.29,53,0.417647059,1,MODERATE
437,Jesus Alou,RIGHT,74,190,0.28,32,0.389473684,1,MODERATE
438,Ken Landreaux,LEFT,70,165,0.268,91,0.424242424,1,MODERATE
439,Enos Cabell,RIGHT,76,170,0.277,60,0.447058824,2,LEAN
440,Roy Branch,RIGHT,72,175,0,0,0.411428571,1,MODERATE
441,Billy North,BOTH,71,185,0.261,20,0.383783784,1,MODERATE
442,Juan Beniquez,RIGHT,71,150,0.274,79,0.473333333,2,LEAN
443,Frank Fernandez,RIGHT,72,185,0.199,39,0.389189189,1,MODERATE
444,Bombo Rivera,RIGHT,70,187,0.265,10,0.374331551,0,HEAVY
445,Steve Brye,RIGHT,72,190,0.258,30,0.378947368,0,HEAVY
446,Ron Jackson,RIGHT,72,200,0.259,56,0.36,0,HEAVY
447,Roger Metzger,BOTH,72,165,0.231,5,0.436363636,2,LEAN
448,Rufino Linares,RIGHT,72,170,0.27,11,0.423529412,1,MODERATE
449,Ray Webster,LEFT,72,185,0.244,17,0.389189189,1,MODERATE
450,Bob Kearney,RIGHT,72,190,0.233,27,0.378947368,0,HEAVY
451,Fergie Jenkins,RIGHT,77,205,0.165,13,0.375609756,0,HEAVY
452,Dick Dietz,RIGHT,73,195,0.261,66,0.374358974,0,HEAVY
453,Ted Cox,RIGHT,75,195,0.245,10,0.384615385,1,MODERATE
454,Bobby Mitchell,LEFT,70,170,0.243,3,0.411764706,1,MODERATE
455,Bobby Mitchell,RIGHT,75,185,0.235,21,0.405405405,1,MODERATE
456,Barry Evans,RIGHT,73,180,0.251,2,0.405555556,1,MODERATE
457,Mickey Brantley,RIGHT,70,180,0.259,32,0.388888889,1,MODERATE
458,Al Gallagher,RIGHT,72,180,0.263,11,0.4,1,MODERATE
459,Rob Woodward,RIGHT,75,185,0,0,0.405405405,1,MODERATE
460,Hector Cruz,RIGHT,71,170,0.225,39,0.417647059,1,MODERATE
461,Fred Norman,BOTH,68,155,0.125,0,0.438709677,2,LEAN
462,Woody Woodward,RIGHT,74,180,0.236,1,0.411111111,1,MODERATE
463,Ted Martinez,RIGHT,72,165,0.24,7,0.436363636,2,LEAN
464,Jim Anderson,RIGHT,72,170,0.218,13,0.423529412,1,MODERATE
465,Lenn Sakata,RIGHT,69,160,0.23,25,0.43125,1,MODERATE
466,Dave Duncan,RIGHT,74,190,0.214,109,0.389473684,1,MODERATE
467,Randy Jones,RIGHT,72,178,0.132,0,0.404494382,1,MODERATE
468,Dick Billings,RIGHT,73,195,0.227,16,0.374358974,0,HEAVY
469,Bob Veselic,RIGHT,72,175,0,0,0.411428571,1,MODERATE
470,Bruce Bochte,LEFT,75,195,0.282,100,0.384615385,1,MODERATE
471,Bernie Carbo,LEFT,71,173,0.264,96,0.410404624,1,MODERATE
472,Vic Davalillo,LEFT,67,150,0.279,36,0.446666667,2,LEAN
473,Burt Hooton,RIGHT,73,210,0.123,4,0.347619048,0,HEAVY
474,Chuck Hockenbery,BOTH,73,195,0,0,0.374358974,0,HEAVY
475,Bob Ferris,RIGHT,78,225,0,0,0.346666667,0,HEAVY
476,Fernando Gonzalez,RIGHT,70,165,0.235,17,0.424242424,1,MODERATE
477,Jim Sundberg,RIGHT,72,190,0.248,95,0.378947368,0,HEAVY
478,Andy Kosco,RIGHT,75,205,0.236,73,0.365853659,0,HEAVY
479,Steve Huntz,BOTH,73,204,0.206,16,0.357843137,0,HEAVY
480,Gary Wheelock,RIGHT,75,205,0,0,0.365853659,0,HEAVY
481,Lenny Faedo,RIGHT,72,170,0.251,5,0.423529412,1,MODERATE
482,John Lowenstein,LEFT,72,175,0.253,116,0.411428571,1,MODERATE
483,Don Kessinger,BOTH,73,170,0.252,14,0.429411765,1,MODERATE
484,Joe Hague,LEFT,72,195,0.239,40,0.369230769,0,HEAVY
485,Bake McBride,LEFT,74,190,0.299,63,0.389473684,1,MODERATE
486,Dick Davis,RIGHT,75,190,0.265,27,0.394736842,1,MODERATE
487,Richie Scheinblum,BOTH,73,180,0.263,13,0.405555556,1,MODERATE
488,Ed Herrmann,LEFT,73,195,0.24,80,0.374358974,0,HEAVY
489,Mike Rochford,LEFT,76,205,0,0,0.370731707,0,HEAVY
490,Jeff Schneider,BOTH,75,195,0,0,0.384615385,1,MODERATE
491,Bob Molinaro,LEFT,72,190,0.264,14,0.378947368,0,HEAVY
492,Mike Hegan,LEFT,73,188,0.242,53,0.388297872,1,MODERATE
493,Mike Diaz,RIGHT,74,195,0.247,31,0.379487179,1,MODERATE
494,Tim Foli,RIGHT,72,179,0.251,25,0.402234637,1,MODERATE
495,Alan Knicely,RIGHT,72,190,0.213,12,0.378947368,0,HEAVY
496,Tim Laudner,RIGHT,75,212,0.225,77,0.353773585,0,HEAVY
497,Jose Morales,RIGHT,71,187,0.287,26,0.379679144,1,MODERATE
498,Luis Encarnacion,RIGHT,70,178,0,0,0.393258427,1,MODERATE
499,Rick Kreuger,RIGHT,74,185,0,0,0.4,1,MODERATE
500,Juan Marichal,RIGHT,72,185,0.165,4,0.389189189,1,MODERATE
501,Vida Blue,BOTH,72,189,0.104,4,0.380952381,1,MODERATE
502,Angel Moreno,LEFT,69,165,0,0,0.418181818,1,MODERATE
503,Roger Weaver,RIGHT,75,190,0,0,0.394736842,1,MODERATE
504,Stan Papi,RIGHT,72,170,0.218,7,0.423529412,1,MODERATE
505,Rob Wilfong,LEFT,73,180,0.248,39,0.405555556,1,MODERATE
506,Chris Knapp,RIGHT,77,195,0,0,0.394871795,1,MODERATE
507,Steve Henderson,RIGHT,74,190,0.28,68,0.389473684,1,MODERATE
508,Rob Picciolo,RIGHT,74,185,0.234,17,0.4,1,MODERATE
509,Don Welchel,RIGHT,76,205,0,0,0.370731707,0,HEAVY
510,Randy Wiles,LEFT,73,185,0,0,0.394594595,1,MODERATE
511,Roberto Pena,RIGHT,68,170,0.245,13,0.4,1,MODERATE
512,Bob Dernier,RIGHT,72,160,0.255,23,0.45,2,LEAN
513,Bill Melton,RIGHT,74,200,0.253,160,0.37,0,HEAVY
514,Albert Hall,BOTH,71,155,0.251,5,0.458064516,2,LEAN
515,Barbaro Garbey,RIGHT,70,170,0.267,11,0.411764706,1,MODERATE
516,John Milner,LEFT,72,185,0.249,131,0.389189189,1,MODERATE
517,Rich Reese,LEFT,75,185,0.253,52,0.405405405,1,MODERATE
518,Chris Bando,BOTH,72,195,0.227,27,0.369230769,0,HEAVY
519,Bill Buckner,LEFT,72,185,0.289,174,0.389189189,1,MODERATE
520,Jack Hiatt,RIGHT,74,190,0.251,22,0.389473684,1,MODERATE
521,Nelson Mathews,RIGHT,76,195,0.223,22,0.38974359,1,MODERATE
522,Larry Lintz,BOTH,69,150,0.227,0,0.46,2,LEAN
523,Ron Theobald,RIGHT,68,165,0.248,2,0.412121212,1,MODERATE
524,Dewey Robinson,RIGHT,72,180,0,0,0.4,1,MODERATE
525,Rafael Santana,RIGHT,73,165,0.246,13,0.442424242,2,LEAN
526,Jerry Hairston,BOTH,70,170,0.258,30,0.411764706,1,MODERATE
527,Tony Arnold,RIGHT,71,170,0,0,0.417647059,1,MODERATE
528,Jeff Schattinger,LEFT,77,200,0,0,0.385,1,MODERATE
529,Ike Brookens,RIGHT,77,170,0,0,0.452941176,2,LEAN
530,Tommie Aaron,RIGHT,75,190,0.229,13,0.394736842,1,MODERATE
531,Steve Dillard,RIGHT,73,180,0.243,13,0.405555556,1,MODERATE
532,Win Remmerswaal,RIGHT,74,160,0,0,0.4625,2,LEAN
533,Jeff Peterek,RIGHT,74,195,0,0,0.379487179,1,MODERATE
534,George Scott,RIGHT,74,200,0.268,271,0.37,0,HEAVY
535,Jeff Shaver,RIGHT,75,195,0,0,0.384615385,1,MODERATE
536,Ken Walters,RIGHT,73,180,0.231,11,0.405555556,1,MODERATE
537,Gorman Thomas,RIGHT,74,210,0.225,268,0.352380952,0,HEAVY
538,Paul Dade,RIGHT,73,185,0.27,10,0.394594595,1,MODERATE
539,Darrell Porter,LEFT,72,193,0.247,188,0.373056995,0,HEAVY
540,Tim Johnson,LEFT,73,170,0.223,0,0.429411765,1,MODERATE
541,Fred Stanley,RIGHT,70,165,0.216,10,0.424242424,1,MODERATE
542,Larry Bowa,BOTH,70,155,0.26,15,0.451612903,2,LEAN
543,Tim Corcoran,LEFT,71,175,0.27,12,0.405714286,1,MODERATE
544,Jim Spencer,LEFT,74,195,0.25,146,0.379487179,1,MODERATE
545,Pete LaCock,LEFT,74,200,0.257,27,0.37,0,HEAVY
546,Carl Morton,RIGHT,72,200,0.156,7,0.36,0,HEAVY
547,Gary Gray,RIGHT,72,187,0.24,24,0.385026738,1,MODERATE
548,Matty Alou,LEFT,69,160,0.307,31,0.43125,1,MODERATE
549,Pete Filson,BOTH,74,195,0,0,0.379487179,1,MODERATE
550,Jim Dwyer,LEFT,70,165,0.26,77,0.424242424,1,MODERATE
551,Dalton Jones,LEFT,73,180,0.235,41,0.405555556,1,MODERATE
552,Rennie Stennett,RIGHT,71,160,0.274,41,0.44375,2,LEAN
553,Jim Gideon,RIGHT,75,190,0,0,0.394736842,1,MODERATE
554,Jerry May,RIGHT,74,190,0.234,15,0.389473684,1,MODERATE
555,Rich McKinney,RIGHT,71,185,0.225,20,0.383783784,1,MODERATE
556,Clint Hurdle,LEFT,75,195,0.259,32,0.384615385,1,MODERATE
557,Mike Andrews,RIGHT,75,195,0.258,66,0.384615385,1,MODERATE
558,Bobby Clark,RIGHT,72,190,0.239,19,0.378947368,0,HEAVY
559,Jeff Twitty,LEFT,74,185,0,0,0.4,1,MODERATE
560,Cliff Johnson,RIGHT,76,215,0.258,196,0.353488372,0,HEAVY
561,Steve Cummings,BOTH,74,200,0,0,0.37,0,HEAVY
562,Donn Clendenon,RIGHT,76,209,0.274,159,0.363636364,0,HEAVY
563,Charlie James,RIGHT,73,195,0.255,29,0.374358974,0,HEAVY
564,Bob Horner,RIGHT,73,195,0.277,218,0.374358974,0,HEAVY
565,Tom Veryzer,RIGHT,73,175,0.241,14,0.417142857,1,MODERATE
566,Jose Cecena,RIGHT,71,180,0,0,0.394444444,1,MODERATE
567,George Smith,RIGHT,70,170,0.205,9,0.411764706,1,MODERATE
568,Jim Essian,RIGHT,74,195,0.244,33,0.379487179,1,MODERATE
569,Onix Concepcion,RIGHT,66,160,0.239,3,0.4125,1,MODERATE
570,Boots Day,LEFT,69,160,0.256,8,0.43125,1,MODERATE
571,Brian Giles,RIGHT,73,165,0.228,10,0.442424242,2,LEAN
572,Garry Maddox,RIGHT,75,175,0.285,117,0.428571429,1,MODERATE
573,Alex Trevino,RIGHT,70,165,0.249,23,0.424242424,1,MODERATE
574,Jim Price,RIGHT,72,192,0.214,18,0.375,0,HEAVY
575,Felix Millan,RIGHT,71,172,0.279,22,0.412790698,1,MODERATE
576,Steve Garvey,RIGHT,70,192,0.294,272,0.364583333,0,HEAVY
577,Don Mincher,LEFT,75,205,0.249,200,0.365853659,0,HEAVY
578,Greg Erardi,RIGHT,73,190,0,0,0.384210526,1,MODERATE
579,Jim Farr,RIGHT,73,195,0,0,0.374358974,0,HEAVY
580,Tony Cloninger,RIGHT,72,210,0.192,11,0.342857143,0,HEAVY
581,Jim Gosger,LEFT,71,185,0.226,30,0.383783784,1,MODERATE
582,Chuck Harrison,RIGHT,70,185,0.238,17,0.378378378,0,HEAVY
583,Mike Ivie,RIGHT,75,205,0.269,81,0.365853659,0,HEAVY
584,Frank Dimichele,RIGHT,75,205,0,0,0.365853659,0,HEAVY
585,Bob Veale,BOTH,78,212,0.114,0,0.367924528,0,HEAVY
586,Marvell Wynne,LEFT,71,175,0.247,40,0.405714286,1,MODERATE
587,Dusty Baker,RIGHT,74,183,0.278,242,0.404371585,1,MODERATE
588,Tucker Ashford,RIGHT,73,195,0.218,6,0.374358974,0,HEAVY
589,Ned Yost,RIGHT,73,190,0.212,16,0.384210526,1,MODERATE
590,Bob Stinson,BOTH,71,180,0.25,33,0.394444444,1,MODERATE
591,Mike Warren,RIGHT,73,175,0,0,0.417142857,1,MODERATE
592,Gaylord Perry,RIGHT,76,205,0.131,6,0.370731707,0,HEAVY
593,Dave Marshall,LEFT,73,182,0.246,16,0.401098901,1,MODERATE
594,Mickey Hatcher,RIGHT,74,200,0.28,38,0.37,0,HEAVY
595,Roger Repoz,LEFT,75,190,0.224,82,0.394736842,1,MODERATE
596,Bill Fulton,RIGHT,75,195,0,0,0.384615385,1,MODERATE
597,John Orsino,RIGHT,75,215,0.249,40,0.348837209,0,HEAVY
598,Larry Anderson,RIGHT,75,190,0,0,0.394736842,1,MODERATE
599,Johnny Briggs,LEFT,73,190,0.253,139,0.384210526,1,MODERATE
600,Craig Mitchell,RIGHT,75,180,0,0,0.416666667,1,MODERATE
601,Dave Hostetler,RIGHT,76,215,0.229,37,0.353488372,0,HEAVY
602,Bob Jones,LEFT,74,195,0.221,20,0.379487179,1,MODERATE
603,Keith Hernandez,LEFT,72,180,0.296,162,0.4,1,MODERATE
604,Alfredo Martinez,RIGHT,75,185,0,0,0.405405405,1,MODERATE
605,Dean Chance,RIGHT,75,200,0.066,0,0.375,0,HEAVY
606,Willie Upshaw,LEFT,72,185,0.262,123,0.389189189,1,MODERATE
607,Dick Green,RIGHT,70,180,0.24,80,0.388888889,1,MODERATE
608,Dane Iorg,LEFT,72,180,0.276,14,0.4,1,MODERATE
609,Richie Hebner,LEFT,73,195,0.276,203,0.374358974,0,HEAVY
610,Fran Healy,RIGHT,77,220,0.25,20,0.35,0,HEAVY
611,Doc Edwards,RIGHT,74,215,0.238,15,0.344186047,0,HEAVY
612,Sandy Alomar,BOTH,69,140,0.245,13,0.492857143,2,LEAN
613,Joe Strain,RIGHT,70,169,0.25,1,0.414201183,1,MODERATE
614,Gene Richards,LEFT,72,175,0.29,26,0.411428571,1,MODERATE
615,Buddy Bell,RIGHT,73,180,0.279,201,0.405555556,1,MODERATE
616,Al Woods,LEFT,75,190,0.271,35,0.394736842,1,MODERATE
617,Rudy Law,LEFT,73,165,0.271,18,0.442424242,2,LEAN
618,Joel Davis,LEFT,77,205,0,0,0.375609756,0,HEAVY
619,Jody Davis,RIGHT,76,192,0.245,127,0.395833333,1,MODERATE
620,Mike Edwards,RIGHT,70,154,0.25,2,0.454545455,2,LEAN
621,Bill Mooneyham,RIGHT,72,175,0,0,0.411428571,1,MODERATE
622,John Hobbs,RIGHT,75,190,0,0,0.394736842,1,MODERATE
623,Deron Johnson,RIGHT,74,200,0.244,245,0.37,0,HEAVY
624,John Denny,RIGHT,75,185,0.17,0,0.405405405,1,MODERATE
625,Don Wert,RIGHT,70,162,0.242,77,0.432098765,1,MODERATE
626,Mike Fiore,LEFT,72,175,0.227,13,0.411428571,1,MODERATE
627,Miguel Dilone,BOTH,72,160,0.265,6,0.45,2,LEAN
628,Greg Luzinski,RIGHT,73,220,0.276,307,0.331818182,0,HEAVY
629,Bobby Tolan,LEFT,71,170,0.265,86,0.417647059,1,MODERATE
630,Karl Best,RIGHT,76,190,0,0,0.4,1,MODERATE
631,Steve Barr,LEFT,76,200,0,0,0.38,1,MODERATE
632,Ron Woods,RIGHT,70,168,0.233,26,0.416666667,1,MODERATE
633,Tony Horton,RIGHT,75,210,0.268,76,0.357142857,0,HEAVY
634,Randy Hundley,RIGHT,71,170,0.236,82,0.417647059,1,MODERATE
635,Jose Tartabull,LEFT,71,165,0.261,2,0.43030303,1,MODERATE
636,Ben Oglivie,LEFT,74,160,0.273,235,0.4625,2,LEAN
637,Luis Sanchez,RIGHT,74,170,0,0,0.435294118,1,MODERATE
638,Bob Johnson,RIGHT,70,175,0.272,44,0.4,1,MODERATE
639,Don Buford,BOTH,67,160,0.264,93,0.41875,1,MODERATE
640,Duane Kuiper,LEFT,72,175,0.271,1,0.411428571,1,MODERATE
641,Brant Alyea,RIGHT,75,215,0.247,38,0.348837209,0,HEAVY
642,Jerry Narron,LEFT,75,205,0.211,21,0.365853659,0,HEAVY
643,Lou Johnson,RIGHT,71,170,0.258,48,0.417647059,1,MODERATE
644,Ken Retzer,LEFT,72,185,0.264,14,0.389189189,1,MODERATE
645,Mike Brown,RIGHT,74,195,0.265,23,0.379487179,1,MODERATE
646,Mike Brown,RIGHT,74,195,0,0,0.379487179,1,MODERATE
647,Greg Walker,LEFT,75,205,0.26,113,0.365853659,0,HEAVY
648,Terry Harper,RIGHT,76,195,0.253,36,0.38974359,1,MODERATE
649,Jerry Royster,RIGHT,72,165,0.249,40,0.436363636,2,LEAN
650,Steve Davis,LEFT,73,195,0,0,0.374358974,0,HEAVY
651,Jeff Rineer,LEFT,76,205,0,0,0.370731707,0,HEAVY
652,Barry Bonnell,RIGHT,75,190,0.272,56,0.394736842,1,MODERATE
653,Tom Seaver,RIGHT,73,195,0.154,12,0.374358974,0,HEAVY
654,Jerry Martin,RIGHT,73,195,0.251,85,0.374358974,0,HEAVY
655,Bill Stein,RIGHT,70,170,0.267,44,0.411764706,1,MODERATE
656,Joel Youngblood,RIGHT,72,180,0.265,80,0.4,1,MODERATE
657,Reggie Jackson,LEFT,72,195,0.262,563,0.369230769,0,HEAVY
658,Sonny Jackson,LEFT,69,150,0.251,7,0.46,2,LEAN
659,Mark Mercer,LEFT,77,220,0,0,0.35,0,HEAVY
660,Rodney Scott,BOTH,72,160,0.236,3,0.45,2,LEAN
661,Rich Coggins,LEFT,68,170,0.265,12,0.4,1,MODERATE
662,Phil Gagliano,RIGHT,73,180,0.238,14,0.405555556,1,MODERATE
663,Jerry McNertney,RIGHT,72,180,0.237,27,0.4,1,MODERATE
664,Mitchell Page,LEFT,74,205,0.266,72,0.36097561,0,HEAVY
665,Kiko Garcia,RIGHT,71,180,0.239,12,0.394444444,1,MODERATE
666,Larry Milbourne,BOTH,72,161,0.254,11,0.447204969,2,LEAN
667,Bill Sudakis,BOTH,73,190,0.234,59,0.384210526,1,MODERATE
668,John Caneira,RIGHT,75,180,0,0,0.416666667,1,MODERATE
669,Domingo Ramos,RIGHT,70,154,0.24,8,0.454545455,2,LEAN
670,Ron Oester,BOTH,74,185,0.265,42,0.4,1,MODERATE
671,Glenn Adams,LEFT,73,180,0.28,34,0.405555556,1,MODERATE
672,Clint Zavaras,RIGHT,73,175,0,0,0.417142857,1,MODERATE
673,Joe Morgan,LEFT,67,160,0.271,268,0.41875,1,MODERATE
674,R.J. Reynolds,BOTH,72,190,0.267,35,0.378947368,0,HEAVY
675,Mike Parrott,RIGHT,76,210,0,0,0.361904762,0,HEAVY
676,Lee Thomas,LEFT,74,195,0.255,106,0.379487179,1,MODERATE
677,Ray Fosse,RIGHT,74,215,0.256,61,0.344186047,0,HEAVY
678,Paul Popovich,BOTH,72,175,0.233,14,0.411428571,1,MODERATE
679,John Stephenson,LEFT,71,180,0.216,12,0.394444444,1,MODERATE
680,Doug Clemens,LEFT,72,180,0.229,12,0.4,1,MODERATE
681,Luis Aponte,RIGHT,72,185,0,0,0.389189189,1,MODERATE
682,Orlando Mercado,RIGHT,72,180,0.199,7,0.4,1,MODERATE
683,Charley Smith,RIGHT,73,170,0.239,69,0.429411765,1,MODERATE
684,Paul Boris,RIGHT,74,200,0,0,0.37,0,HEAVY
685,Buddy Biancalana,BOTH,71,160,0.205,6,0.44375,2,LEAN
686,De Wayne Buice,RIGHT,72,170,0,0,0.423529412,1,MODERATE
687,Bob Uecker,RIGHT,73,190,0.2,14,0.384210526,1,MODERATE
688,Felix Torres,RIGHT,71,165,0.254,27,0.43030303,1,MODERATE
689,Steve Braun,LEFT,70,180,0.271,52,0.388888889,1,MODERATE
690,Ray Knight,RIGHT,73,185,0.271,84,0.394594595,1,MODERATE
691,Ty Cline,LEFT,72,170,0.238,6,0.423529412,1,MODERATE
692,Thad Bosley,LEFT,75,175,0.272,20,0.428571429,1,MODERATE
693,Bobby Grich,RIGHT,74,180,0.266,224,0.411111111,1,MODERATE
694,Jimmie Hall,LEFT,72,175,0.254,121,0.411428571,1,MODERATE
695,John Boccabella,RIGHT,73,195,0.219,26,0.374358974,0,HEAVY
696,Brock Davis,LEFT,70,160,0.26,1,0.4375,2,LEAN
697,Mark Esser,RIGHT,73,190,0,0,0.384210526,1,MODERATE
698,Curt Blefary,LEFT,74,195,0.237,112,0.379487179,1,MODERATE
699,Daryl Smith,RIGHT,76,185,0,0,0.410810811,1,MODERATE
700,Dave Smith,RIGHT,73,190,0,0,0.384210526,1,MODERATE
701,Mack Jones,LEFT,73,180,0.252,133,0.405555556,1,MODERATE
702,Buddy Bradford,RIGHT,71,170,0.226,52,0.417647059,1,MODERATE
703,Hosken Powell,LEFT,73,175,0.259,17,0.417142857,1,MODERATE
704,Dave Stapleton,LEFT,73,185,0,0,0.394594595,1,MODERATE
705,Dave Stapleton,RIGHT,73,178,0.271,41,0.41011236,1,MODERATE
706,Gary Ward,RIGHT,74,195,0.276,130,0.379487179,1,MODERATE
707,Jim Lonborg,RIGHT,77,200,0.136,3,0.385,1,MODERATE
708,Joe Lis,RIGHT,72,175,0.233,32,0.411428571,1,MODERATE
709,Dan Meyer,LEFT,71,180,0.253,86,0.394444444,1,MODERATE
710,Jim Holt,LEFT,72,180,0.265,19,0.4,1,MODERATE
711,Tom Klawitter,RIGHT,74,190,0,0,0.389473684,1,MODERATE
712,Larry Herndon,RIGHT,75,190,0.274,107,0.394736842,1,MODERATE
713,Gary Christenson,LEFT,77,200,0,0,0.385,1,MODERATE
714,Jim Wright,RIGHT,77,205,0,0,0.375609756,0,HEAVY
715,Jim Wright,RIGHT,73,165,0,0,0.442424242,2,LEAN
