sno,name,handedness,height,weight,average,HR,ratio,bodyindex,bodytype
81,Byron Browne,RIGHT,74,190,0.236,30,0.389473684,1,MODERATE
82,Hector Torres,RIGHT,72,175,0.216,18,0.411428571,1,MODERATE
83,Walt Williams,RIGHT,66,165,0.27,33,0.4,1,MODERATE
84,Jerry Koosman,RIGHT,74,205,0.119,2,0.36097561,0,HEAVY
85,Steve Lombardozzi,RIGHT,72,175,0.233,20,0.411428571,1,MODERATE
86,Joe Azcue,RIGHT,72,190,0.252,50,0.378947368,0,HEAVY
87,Elliott Maddox,RIGHT,71,180,0.261,18,0.394444444,1,MODERATE
88,Omar Moreno,LEFT,74,180,0.252,37,0.411111111,1,MODERATE
89,Julian Javier,RIGHT,73,175,0.257,78,0.417142857,1,MODERATE
90,Tony Ferreira,LEFT,73,160,0,0,0.45625,2,LEAN
91,Elio Chacon,RIGHT,69,160,0.232,4,0.43125,1,MODERATE
92,Rusty Torres,BOTH,70,175,0.212,35,0.4,1,MODERATE
93,John Stearns,RIGHT,72,185,0.26,46,0.389189189,1,MODERATE
94,Larry Brown,RIGHT,70,160,0.233,47,0.4375,2,LEAN
95,Tommy Dean,RIGHT,72,165,0.18,4,0.436363636,2,LEAN
96,Bryan Oelkers,LEFT,75,192,0,0,0.390625,1,MODERATE
97,Kevin Bearse,LEFT,74,195,0,0,0.379487179,1,MODERATE
98,Marty Martinez,BOTH,72,170,0.243,0,0.423529412,1,MODERATE
99,Bruce Boisclair,LEFT,74,185,0.263,10,0.4,1,MODERATE
100,Ken Singleton,BOTH,76,210,0.282,246,0.361904762,0,HEAVY
101,Frank White,RIGHT,71,165,0.255,160,0.43030303,1,MODERATE
102,Jim Fairey,LEFT,70,190,0.235,7,0.368421053,0,HEAVY
103,Jose Roman,RIGHT,72,175,0,0,0.411428571,1,MODERATE
104,Tom Brookens,RIGHT,70,165,0.246,71,0.424242424,1,MODERATE
105,Gary Thomasson,LEFT,73,180,0.249,61,0.405555556,1,MODERATE
106,Mike Trujillo,RIGHT,73,180,0,0,0.405555556,1,MODERATE
107,Albert Williams,RIGHT,76,190,0,0,0.4,1,MODERATE
108,Oswaldo Peraza,RIGHT,76,172,0,0,0.441860465,2,LEAN
109,Otto Velez,RIGHT,72,170,0.251,78,0.423529412,1,MODERATE
110,Tony Scott,BOTH,72,164,0.249,17,0.43902439,2,LEAN
111,Ray Oyler,RIGHT,71,165,0.175,15,0.43030303,1,MODERATE
112,Barry Cort,RIGHT,77,210,0,0,0.366666667,0,HEAVY
113,Floyd Robinson,LEFT,69,175,0.283,67,0.394285714,1,MODERATE
114,Steve Jeltz,BOTH,71,180,0.21,5,0.394444444,1,MODERATE
115,Lou Brock,LEFT,71,170,0.293,149,0.417647059,1,MODERATE
116,Bill Wilkinson,RIGHT,70,160,0,0,0.4375,2,LEAN
117,Joe Lovitto,BOTH,72,185,0.216,4,0.389189189,1,MODERATE
118,Mike Loynd,RIGHT,76,210,0,0,0.361904762,0,HEAVY
119,Wayne Comer,RIGHT,70,175,0.229,16,0.4,1,MODERATE
120,Dave Collins,BOTH,71,175,0.272,32,0.405714286,1,MODERATE
121,Ed Spiezio,RIGHT,71,180,0.238,39,0.394444444,1,MODERATE
122,Rico Petrocelli,RIGHT,72,175,0.251,210,0.411428571,1,MODERATE
123,Johnny Lewis,LEFT,73,189,0.227,22,0.386243386,1,MODERATE
124,Dick Simpson,RIGHT,76,176,0.207,15,0.431818182,1,MODERATE
125,Ken Boswell,LEFT,72,170,0.248,31,0.423529412,1,MODERATE
126,Ken McMullen,RIGHT,75,190,0.248,156,0.394736842,1,MODERATE
127,Randy Scarbery,BOTH,73,185,0,0,0.394594595,1,MODERATE
128,Steve Swisher,RIGHT,74,205,0.216,20,0.36097561,0,HEAVY
129,Ben Callahan,RIGHT,79,230,0,0,0.343478261,0,HEAVY
130,Dick Howser,RIGHT,68,155,0.248,16,0.438709677,2,LEAN
131,Manny Castillo,BOTH,69,160,0.242,3,0.43125,1,MODERATE
132,Mike Ramsey,BOTH,73,170,0.24,2,0.429411765,1,MODERATE
133,Willie Crawford,LEFT,73,197,0.268,86,0.370558376,0,HEAVY
134,Bobby Cuellar,RIGHT,71,188,0,0,0.377659574,0,HEAVY
135,Willie Norwood,RIGHT,72,185,0.242,18,0.389189189,1,MODERATE
136,Mike Jones,LEFT,78,215,0,0,0.362790698,0,HEAVY
137,Jeff Stone,LEFT,72,175,0.277,11,0.411428571,1,MODERATE
138,Ramon Manon,RIGHT,72,150,0,0,0.48,2,LEAN
139,Joe Lahoud,LEFT,73,198,0.223,65,0.368686869,0,HEAVY
140,Tim Flannery,LEFT,71,175,0.255,9,0.405714286,1,MODERATE
141,Dave McKay,BOTH,73,195,0.229,21,0.374358974,0,HEAVY
142,John Trautwein,RIGHT,75,205,0,0,0.365853659,0,HEAVY
143,Andy Replogle,RIGHT,77,205,0,0,0.375609756,0,HEAVY
144,Zach Crouch,LEFT,75,180,0,0,0.416666667,1,MODERATE
145,Benny Ayala,RIGHT,73,185,0.251,38,0.394594595,1,MODERATE
146,Ron Romanick,RIGHT,76,195,0,0,0.38974359,1,MODERATE
147,Greg Gross,LEFT,70,160,0.287,7,0.4375,2,LEAN
148,Bruce Tanner,LEFT,75,220,0,0,0.340909091,0,HEAVY
149,Sal Butera,RIGHT,72,190,0.227,8,0.378947368,0,HEAVY
150,Jack Brohamer,LEFT,70,165,0.245,30,0.424242424,1,MODERATE
151,Von Joshua,LEFT,70,170,0.273,30,0.411764706,1,MODERATE
152,Eddie Milner,LEFT,71,173,0.253,42,0.410404624,1,MODERATE
153,Johnny Jeter,RIGHT,73,180,0.244,18,0.405555556,1,MODERATE
154,Angel Salazar,RIGHT,72,180,0.212,2,0.4,1,MODERATE
155,Tony Oliva,LEFT,73,175,0.304,220,0.417142857,1,MODERATE
156,Cito Gaston,RIGHT,75,190,0.256,91,0.394736842,1,MODERATE
157,Cookie Rojas,RIGHT,70,160,0.263,54,0.4375,2,LEAN
158,Rich Morales,RIGHT,71,170,0.195,6,0.417647059,1,MODERATE
159,Dave Ford,RIGHT,76,190,0,0,0.4,1,MODERATE
160,Dan Ford,RIGHT,73,185,0.27,121,0.394594595,1,MODERATE
161,Barry Raziano,BOTH,70,175,0,0,0.4,1,MODERATE
162,Darryl Motley,RIGHT,69,196,0.243,44,0.352040816,0,HEAVY
163,Ozzie Virgil,RIGHT,73,180,0.243,98,0.405555556,1,MODERATE
164,Johnny Oates,LEFT,71,188,0.25,14,0.377659574,0,HEAVY
